Team,Game Date,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Philadelphia Flyers,12/20/2008,1,1,0,--,0,2,1,1,1,0,7,1,7,1,40,100,40,120,28,48,47
Philadelphia Flyers,12/21/2008,1,0,0,--,1,1,0.5,0,0,0,2,2,2,2,100,80,100,80,29,26,32.8
Philadelphia Flyers,12/23/2008,1,1,0,--,0,2,1,1,1,0,6,4,6,4,50,50,50,50,32,21,50.8
Philadelphia Flyers,12/26/2008,1,0,1,--,0,0,0,0,0,0,1,5,1,5,0,75,0,75,18,38,56.1
Philadelphia Flyers,12/27/2008,1,0,1,--,0,0,0,0,0,0,0,3,0,3,0,83.3,0,83.3,20,33,41.9
Philadelphia Flyers,12/30/2008,1,1,0,--,0,2,1,1,1,0,3,2,3,2,0,66.7,0,66.7,29,31,52.3
Philadelphia Flyers,1/2/2009,1,1,0,--,0,2,1,0,0,1,4,4,4,4,16.7,50,16.7,50,32,27,40.6
Philadelphia Flyers,1/3/2009,1,0,0,--,1,1,0.5,0,0,0,1,1,1,1,0,83.3,0,83.3,32,31,44.4
Philadelphia Flyers,1/6/2009,1,0,0,--,1,1,0.5,0,0,0,1,1,1,1,25,75,25,75,34,34,52.5
Philadelphia Flyers,1/8/2009,1,1,0,--,0,2,1,1,1,0,3,1,3,1,100,100,100,100,23,28,56.9
Philadelphia Flyers,1/10/2009,1,1,0,--,0,2,1,1,1,0,4,1,4,1,50,100,50,100,30,42,56.3
Philadelphia Flyers,1/13/2009,1,0,1,--,0,0,0,0,0,0,2,4,2,4,0,100,0,100,29,26,48.3
Philadelphia Flyers,1/15/2009,1,0,1,--,0,0,0,0,0,0,1,4,1,4,33.3,75,33.3,75,32,44,54.2
Philadelphia Flyers,1/16/2009,1,1,0,--,0,2,1,0,0,1,2,2,2,2,33.3,66.7,33.3,66.7,26,34,50.9
Philadelphia Flyers,1/21/2009,1,1,0,--,0,2,1,1,1,0,5,3,5,3,0,100,0,100,33,31,47.4
Philadelphia Flyers,1/27/2009,1,0,1,--,0,0,0,0,0,0,2,3,2,3,0,83.3,0,83.3,35,27,53.6
Philadelphia Flyers,1/30/2009,1,1,0,--,0,2,1,1,1,0,6,1,6,1,20,88.9,20,88.9,32,42,52.2
Philadelphia Flyers,1/31/2009,1,0,1,--,0,0,0,0,0,0,0,4,0,4,0,75,0,75,36,35,52.2
Philadelphia Flyers,2/4/2009,1,0,1,--,0,0,0,0,0,0,1,3,1,3,0,100,0,100,26,33,45.5
Philadelphia Flyers,2/7/2009,1,1,0,--,0,2,1,0,1,0,4,3,4,3,33.3,100,33.3,100,30,37,51.4
Philadelphia Flyers,2/8/2009,1,1,0,--,0,2,1,1,1,0,3,2,3,2,25,66.7,25,66.7,23,31,48
Philadelphia Flyers,2/12/2009,1,0,1,--,0,0,0,0,0,0,2,5,2,5,0,50,0,50,36,23,37.7
Philadelphia Flyers,2/14/2009,1,1,0,--,0,2,1,1,1,0,5,1,5,1,0,100,0,100,34,39,58.3
Philadelphia Flyers,2/15/2009,1,1,0,--,0,2,1,1,1,0,5,2,5,2,0,100,0,120,20,37,28.9
Philadelphia Flyers,2/19/2009,1,1,0,--,0,2,1,1,1,0,6,3,6,3,50,50,50,75,36,42,56.9
Philadelphia Flyers,2/21/2009,1,0,1,--,0,0,0,0,0,0,4,5,4,5,0,75,0,100,27,27,49.1
Philadelphia Flyers,2/24/2009,1,1,0,--,0,2,1,1,1,0,4,2,4,2,12.5,85.7,12.5,85.7,37,35,42.6
Philadelphia Flyers,2/25/2009,1,1,0,--,0,2,1,1,1,0,2,0,2,0,33.3,100,33.3,100,20,34,50
Philadelphia Flyers,2/27/2009,1,0,0,--,1,1,0.5,0,0,0,3,4,3,4,0,60,0,60,38,36,44.9
Philadelphia Flyers,3/1/2009,1,0,1,--,0,0,0,0,0,0,0,3,0,3,0,100,0,100,27,42,41.9
Philadelphia Flyers,3/3/2009,1,1,0,--,0,2,1,1,1,0,4,2,4,2,20,60,20,60,26,24,43.1
Philadelphia Flyers,3/5/2009,1,0,1,--,0,0,0,0,0,0,1,5,1,5,0,66.7,0,66.7,36,41,46.2
Philadelphia Flyers,3/7/2009,1,1,0,--,0,2,1,1,1,0,4,1,4,1,20,100,20,100,26,32,53.9
Philadelphia Flyers,3/10/2009,1,1,0,--,0,2,1,1,1,0,5,2,5,2,33.3,100,33.3,100,33,29,48.4
Philadelphia Flyers,3/12/2009,1,0,1,--,0,0,0,0,0,0,1,2,1,2,0,50,0,50,36,30,66.7
Philadelphia Flyers,3/14/2009,1,1,0,--,0,2,1,1,1,0,4,2,4,2,0,100,0,100,29,41,46
Philadelphia Flyers,3/15/2009,1,0,1,--,0,0,0,0,0,0,1,4,1,4,16.7,66.7,16.7,66.7,25,39,48.3
Philadelphia Flyers,3/17/2009,1,0,1,--,0,0,0,0,0,0,2,3,2,3,0,100,0,100,26,48,44.6
Philadelphia Flyers,3/20/2009,1,1,0,--,0,2,1,1,1,0,6,4,6,4,66.7,100,66.7,100,31,43,54.1
Philadelphia Flyers,3/22/2009,1,1,0,--,0,2,1,1,1,0,3,1,3,1,28.6,75,28.6,75,20,28,50
Philadelphia Flyers,3/23/2009,1,1,0,--,0,2,1,1,1,0,4,2,4,2,100,87.5,100,87.5,25,34,42.1
Philadelphia Flyers,3/26/2009,1,0,1,--,0,0,0,0,0,0,2,4,2,4,0,50,0,50,42,28,61.8
Philadelphia Flyers,3/28/2009,1,1,0,--,0,2,1,0,0,1,3,3,3,3,0,100,0,100,36,33,50
Philadelphia Flyers,3/29/2009,1,0,1,--,0,0,0,0,0,0,3,4,3,4,0,66.7,0,66.7,48,31,45.2
Philadelphia Flyers,4/1/2009,1,0,1,--,0,0,0,0,0,0,2,3,2,3,25,100,25,100,34,38,50
Philadelphia Flyers,4/3/2009,1,1,0,--,0,2,1,1,1,0,8,5,8,5,20,66.7,20,66.7,35,32,41.7
Philadelphia Flyers,4/4/2009,1,0,0,--,1,1,0.5,0,0,0,3,3,3,3,50,50,50,50,34,38,48.2
Philadelphia Flyers,4/7/2009,1,1,0,--,0,2,1,1,1,0,2,1,2,1,0,100,0,100,30,30,50.8
Philadelphia Flyers,4/9/2009,1,0,1,--,0,0,0,0,0,0,1,2,1,2,25,100,25,100,38,31,44.1
Philadelphia Flyers,4/11/2009,1,1,0,--,0,2,1,1,1,0,3,2,3,2,66.7,100,66.7,100,27,32,52.5
Philadelphia Flyers,4/12/2009,1,0,1,--,0,0,0,0,0,0,3,4,3,4,33.3,75,0,75,31,31,60.4
Philadelphia Flyers,10/2/2009,1,1,0,--,0,2,1,1,1,0,2,0,2,0,40,100,40,100,27,28,44.6
Philadelphia Flyers,10/3/2009,1,1,0,--,0,2,1,1,1,0,5,2,5,2,0,80,-33.3,80,27,26,47.5
Philadelphia Flyers,10/6/2009,1,1,0,--,0,2,1,0,1,0,6,5,6,5,33.3,80,33.3,80,41,36,47.7
Philadelphia Flyers,10/8/2009,1,0,1,--,0,0,0,0,0,0,4,5,4,5,28.6,80,28.6,80,34,25,44.8
Philadelphia Flyers,10/10/2009,1,0,0,--,1,1,0.5,0,0,0,2,2,2,2,28.6,100,28.6,100,35,33,48.3
Philadelphia Flyers,10/16/2009,1,0,1,--,0,0,0,0,0,0,2,4,2,4,0,66.7,-50,66.7,27,28,45.9
Philadelphia Flyers,10/22/2009,1,1,0,--,0,2,1,0,0,1,3,3,3,3,0,50,0,50,39,26,55.1
Philadelphia Flyers,10/24/2009,1,1,0,--,0,2,1,1,1,0,5,1,5,1,40,100,40,100,38,18,49.2
Philadelphia Flyers,10/25/2009,1,0,1,--,0,0,0,0,0,0,1,4,1,4,0,75,0,75,38,28,35.9
Philadelphia Flyers,10/27/2009,1,0,1,--,0,0,0,0,0,0,2,4,2,4,40,75,40,75,43,36,46.4
Philadelphia Flyers,10/31/2009,1,1,0,--,0,2,1,1,1,0,6,1,6,1,25,100,25,100,28,40,64
Philadelphia Flyers,11/2/2009,1,1,0,--,0,2,1,1,1,0,6,2,6,2,50,100,50,100,31,28,51.8
Philadelphia Flyers,11/6/2009,1,1,0,--,0,2,1,1,1,0,5,2,5,2,0,50,0,50,37,30,53.5
Philadelphia Flyers,11/7/2009,1,1,0,--,0,2,1,0,0,1,1,1,1,1,20,100,20,100,36,31,47.9
Philadelphia Flyers,11/12/2009,1,1,0,--,0,2,1,1,1,0,5,1,5,1,50,0,50,0,27,23,57.4
Philadelphia Flyers,11/14/2009,1,0,1,--,0,0,0,0,0,0,2,3,2,3,0,71.4,0,85.7,31,25,63.2
Philadelphia Flyers,11/16/2009,1,1,0,--,0,2,1,1,1,0,3,2,3,2,50,80,50,80,35,35,51.7
Philadelphia Flyers,11/18/2009,1,1,0,--,0,2,1,1,1,0,3,2,3,2,50,75,50,75,20,39,47.3
