Team,Game Date,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Philadelphia Flyers,1/29/2019,1,1,0,--,0,2,1,1,1,0,1,0,1,0,0,100,0,100,19,38,56.9
Philadelphia Flyers,1/31/2019,1,1,0,--,0,2,1,0,1,0,3,2,3,2,100,0,100,0,41,25,63.2
Philadelphia Flyers,2/2/2019,1,1,0,--,0,2,1,0,1,0,5,4,5,4,80,100,60,100,39,44,50
Philadelphia Flyers,2/4/2019,1,1,0,--,0,2,1,1,1,0,2,1,2,1,33.3,100,33.3,100,30,42,48.1
Philadelphia Flyers,2/7/2019,1,0,0,--,1,1,0.5,0,0,0,2,2,2,2,0,--,0,--,32,39,50
Philadelphia Flyers,2/9/2019,1,1,0,--,0,2,1,1,1,0,6,2,6,2,20,50,20,75,40,32,56.3
Philadelphia Flyers,2/11/2019,1,0,1,--,0,0,0,0,0,0,1,4,1,4,20,100,0,100,51,28,56.7
Philadelphia Flyers,2/12/2019,1,1,0,--,0,2,1,1,1,0,5,4,5,4,50,83.3,50,83.3,26,39,55.1
Philadelphia Flyers,2/16/2019,1,1,0,--,0,2,1,0,1,0,6,5,6,5,50,100,50,100,32,38,52.9
Philadelphia Flyers,2/17/2019,1,1,0,--,0,2,1,1,1,0,3,1,3,1,0,100,0,100,23,38,49.1
Philadelphia Flyers,2/19/2019,1,0,1,--,0,0,0,0,0,0,2,5,2,5,0,75,0,75,30,33,60
Philadelphia Flyers,2/21/2019,1,0,1,--,0,0,0,0,0,0,1,5,1,5,0,--,0,--,30,40,49.2
Philadelphia Flyers,2/23/2019,1,1,0,--,0,2,1,0,1,0,4,3,4,3,50,--,50,--,37,43,56.3
Philadelphia Flyers,2/26/2019,1,1,0,--,0,2,1,1,1,0,5,2,5,2,0,66.7,0,66.7,45,36,60.4
Philadelphia Flyers,2/28/2019,1,0,0,--,1,1,0.5,0,0,0,3,4,3,4,50,100,50,100,31,40,40.5
Philadelphia Flyers,3/1/2019,1,1,0,--,0,2,1,1,1,0,6,3,6,3,33.3,100,33.3,100,24,33,33.3
Philadelphia Flyers,3/3/2019,1,1,0,--,0,2,1,1,1,0,4,1,4,1,0,100,0,100,26,30,54.7
Philadelphia Flyers,3/6/2019,1,0,1,--,0,0,0,0,0,0,3,5,3,5,0,66.7,0,66.7,30,35,69.6
Philadelphia Flyers,3/9/2019,1,1,0,--,0,2,1,1,1,0,5,2,5,2,0,100,0,100,25,27,46.9
Philadelphia Flyers,3/11/2019,1,1,0,--,0,2,1,1,1,0,3,2,3,2,0,100,0,100,36,22,54.2
Philadelphia Flyers,3/14/2019,1,0,1,--,0,0,0,0,0,0,2,5,2,5,0,100,0,100,24,32,52.8
Philadelphia Flyers,3/15/2019,1,0,1,--,0,0,0,0,0,0,6,7,6,7,0,75,0,75,29,51,43.1
Philadelphia Flyers,3/17/2019,1,1,0,--,0,2,1,0,1,0,2,1,2,1,0,100,0,100,38,42,47.1
Philadelphia Flyers,3/19/2019,1,0,1,--,0,0,0,0,0,0,1,3,1,3,100,--,100,--,33,36,52.5
Philadelphia Flyers,3/21/2019,1,1,0,--,0,2,1,1,1,0,3,1,3,1,0,100,0,100,28,41,53.6
Philadelphia Flyers,3/23/2019,1,0,1,--,0,0,0,0,0,0,2,4,2,4,50,100,50,100,24,40,64.3
Philadelphia Flyers,3/24/2019,1,0,1,--,0,0,0,0,0,0,1,3,1,3,25,100,25,100,36,30,63.3
Philadelphia Flyers,3/27/2019,1,1,0,--,0,2,1,0,0,1,4,4,4,4,0,100,0,100,44,42,47.5
Philadelphia Flyers,3/30/2019,1,0,1,--,0,0,0,0,0,0,2,5,2,5,33.3,0,0,0,32,32,37.9
Philadelphia Flyers,3/31/2019,1,0,1,--,0,0,0,0,0,0,0,3,0,3,0,100,0,100,29,25,59.6
Philadelphia Flyers,4/2/2019,1,0,1,--,0,0,0,0,0,0,2,6,2,6,25,66.7,25,66.7,34,30,49.3
Philadelphia Flyers,4/4/2019,1,0,1,--,0,0,0,0,0,0,3,7,3,7,0,50,-25,50,29,35,52
Philadelphia Flyers,4/6/2019,1,0,1,--,0,0,0,0,0,0,3,4,3,4,50,100,50,100,31,28,54.4
Philadelphia Flyers,10/4/2019,1,1,0,--,0,2,1,1,1,0,4,3,4,3,33.3,50,33.3,50,38,31,62.1
Philadelphia Flyers,10/9/2019,1,1,0,--,0,2,1,1,1,0,4,0,4,0,50,100,50,100,34,25,58.6
Philadelphia Flyers,10/12/2019,1,0,0,--,1,1,0.5,0,0,0,2,2,2,2,33.3,100,33.3,100,32,24,44.3
Philadelphia Flyers,10/15/2019,1,0,1,--,0,0,0,0,0,0,1,3,1,3,0,100,0,100,22,38,62.1
Philadelphia Flyers,10/16/2019,1,0,1,--,0,0,0,0,0,0,3,6,3,6,33.3,0,33.3,0,52,22,50
Philadelphia Flyers,10/19/2019,1,0,1,--,0,0,0,0,0,0,1,4,1,4,0,50,0,50,39,16,63.2
Philadelphia Flyers,10/21/2019,1,1,0,--,0,2,1,1,1,0,6,2,6,2,40,80,40,80,37,35,56.7
Philadelphia Flyers,10/24/2019,1,1,0,--,0,2,1,1,1,0,4,1,4,1,0,100,0,100,23,24,65.2
Philadelphia Flyers,10/26/2019,1,1,0,--,0,2,1,1,1,0,7,4,7,4,50,100,50,120,46,26,64.5
Philadelphia Flyers,10/27/2019,1,0,1,--,0,0,0,0,0,0,3,5,3,5,0,100,0,100,31,33,54.6
Philadelphia Flyers,10/29/2019,1,0,1,--,0,0,0,0,0,0,1,7,1,7,0,100,0,100,30,37,54.1
Philadelphia Flyers,11/1/2019,1,1,0,--,0,2,1,0,0,1,3,3,3,3,0,50,0,50,31,26,42.5
Philadelphia Flyers,11/2/2019,1,0,0,--,1,1,0.5,0,0,0,3,3,3,3,33.3,100,33.3,100,40,26,60.8
Philadelphia Flyers,11/5/2019,1,1,0,--,0,2,1,1,1,0,4,1,4,1,33.3,100,33.3,100,28,34,49.1
Philadelphia Flyers,11/7/2019,1,1,0,--,0,2,1,0,1,0,3,2,3,2,0,--,0,--,43,24,50
Philadelphia Flyers,11/9/2019,1,1,0,--,0,2,1,0,0,1,2,2,2,2,33.3,100,33.3,100,32,40,45.3
Philadelphia Flyers,11/10/2019,1,1,0,--,0,2,1,0,0,1,2,2,2,2,0,100,0,100,29,28,38.9
Philadelphia Flyers,11/13/2019,1,0,0,--,1,1,0.5,0,0,0,1,1,1,1,25,100,25,100,31,36,50.8
Philadelphia Flyers,11/15/2019,1,0,1,--,0,0,0,0,0,0,1,2,1,2,0,66.7,0,66.7,27,19,56.9
Philadelphia Flyers,11/16/2019,1,0,0,--,1,1,0.5,0,0,0,3,3,3,3,33.3,66.7,33.3,66.7,31,36,46.9
Philadelphia Flyers,11/19/2019,1,0,1,--,0,0,0,0,0,0,2,5,2,5,0,100,0,100,37,26,47.9
Philadelphia Flyers,11/21/2019,1,1,0,--,0,2,1,1,1,0,5,3,5,3,33.3,80,33.3,100,23,36,54.2
Philadelphia Flyers,11/23/2019,1,0,0,--,1,1,0.5,0,0,0,2,2,2,2,0,100,0,100,38,27,59.5
Philadelphia Flyers,11/25/2019,1,1,0,--,0,2,1,1,1,0,2,1,2,1,0,100,0,100,34,17,61.5
Philadelphia Flyers,11/27/2019,1,1,0,--,0,2,1,1,1,0,3,2,3,2,20,100,20,100,22,30,51.9
Philadelphia Flyers,11/29/2019,1,1,0,--,0,2,1,1,1,0,6,1,6,1,33.3,100,33.3,100,35,33,52.5
Philadelphia Flyers,11/30/2019,1,1,0,--,0,2,1,0,1,0,4,3,4,3,0,66.7,0,66.7,29,42,55
Philadelphia Flyers,12/3/2019,1,1,0,--,0,2,1,1,1,0,6,1,6,1,0,100,0,100,29,28,60
Philadelphia Flyers,12/5/2019,1,0,1,--,0,0,0,0,0,0,1,3,1,3,0,50,0,50,29,18,60
Philadelphia Flyers,12/7/2019,1,1,0,--,0,2,1,1,1,0,4,3,4,3,0,100,-50,100,21,30,53.9
Philadelphia Flyers,12/11/2019,1,0,1,--,0,0,0,0,0,0,1,3,1,3,0,100,0,100,33,27,57.1
Philadelphia Flyers,12/14/2019,1,0,1,--,0,0,0,0,0,0,1,4,1,4,0,100,-33.3,100,18,28,60.8
